Secret/ConfigMap,Name,Namespace,Data Fields,Validity (years),Actual Expiry,Fingerprint,Managed Status,Managed Details,CA,Relevant Annotations,OC Describe Command,OpenSSL Command
secret,capi-webhooks-tls,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key",10,Jul 29 14:46:57 2035 GMT,6DA2A6A758B674491932C2DF71F152E282357F55C298121332C63D8B51CF0D9C,"Platform-Managed (10-Year, Not Auto-Rotated)","Issuer: OU=openshift, CN=capi-webhooks; Platform-CA signed",Unknown,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster capi-webhooks-tls,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster capi-webhooks-tls -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,catalog-operator-serving-cert,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:16 2026 GMT,5363E9759A0F972078A0893B4B6A3CE5AC4815CE2D5C192303655B955C2E57A8,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster catalog-operator-serving-cert,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster catalog-operator-serving-cert -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,cluster-image-registry-operator,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:17 2026 GMT,44D71EC249DC589004D92F307D70B8E62606327BEC9765C5107D3EB2CB7CB2F9,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster cluster-image-registry-operator,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster cluster-image-registry-operator -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,cluster-policy-controller-cert,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:11 2026 GMT,299474C6BF610D6D8A5678E3858F6FE34A4B7E492DCC8438D3103E9E3BFE1823,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster cluster-policy-controller-cert,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster cluster-policy-controller-cert -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,cluster-signer-ca,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",10,Jul 29 14:47:08 2035 GMT,AF7D42604FA33F4982C1DFEB4B1AB9FAE50C7AA24497E3072840DFB77A55ED21,"Platform-Managed (10-Year, Not Auto-Rotated)","Issuer: OU=openshift, CN=kube-csr-signer; Platform-CA signed",Kube-CSR-Signer,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster cluster-signer-ca,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster cluster-signer-ca -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,csi-snapshot-webhook-secret,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:18 2026 GMT,C0B969A81559FCC8BA50C429957D52BDE24EF01A6D99625E05B9C6A11FC95674,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster csi-snapshot-webhook-secret,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster csi-snapshot-webhook-secret -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,customer-system-admin-client-cert-key,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key",0,Oct 31 21:24:43 2025 GMT,BB932963402F1E99FCFAAEA2849614140FB24E318365B278CAA5FB73EF8B1DEB,Platform-Managed (Auto-Rotated),Issuer: CN=bm-hosted-cluster-bm-hosted-cluster_customer-system-admin-signer@1761749252,Unknown,openshift.io/owning-component: HOSTEDCP;auth.openshift.io/certificate-not-before: 2025-10-30T09:24:42Z;auth.openshift.io/certificate-not-after: 2025-10-31T21:24:43Z;auth.openshift.io/managed-certificate-type: target,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster customer-system-admin-client-cert-key,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster customer-system-admin-client-cert-key -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,customer-system-admin-signer,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key",0,Nov  5 14:47:32 2025 GMT,1E644C226F05DC17697689FDC0A3EAF4100BEB1906B6E5620A47B49C99C39DD9,Platform-Managed (Auto-Rotated),Issuer: CN=bm-hosted-cluster-bm-hosted-cluster_customer-system-admin-signer@1761749252,Unknown,openshift.io/owning-component: HOSTEDCP;auth.openshift.io/certificate-not-before: 2025-10-29T14:47:31Z;auth.openshift.io/certificate-not-after: 2025-11-05T14:47:32Z;auth.openshift.io/managed-certificate-type: signer,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster customer-system-admin-signer,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster customer-system-admin-signer -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,cvo-server,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:18 2026 GMT,C641436684BC9CF989A9BDFFA2A3E2277CDC638939D3EB07EC019085D7E8E1B7,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster cvo-server,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster cvo-server -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,dns-operator-kubeconfig,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:48:10 2026 GMT,3FDDB378CBA52C3E797F2260FF982AE536EAC5ED9771B756C050438ECC2096AB,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=kube-csr-signer; Platform-CA signed",Kube-CSR-Signer,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster dns-operator-kubeconfig,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster dns-operator-kubeconfig -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,etcd-metrics-signer,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",10,Jul 29 14:47:02 2035 GMT,9A404FCCFC160AA45D90C3EFA57A838471A6A8EB57F7C99CC968EC602554A870,"Platform-Managed (10-Year, Not Auto-Rotated)","Issuer: OU=openshift, CN=etcd-metrics-signer; Platform-CA signed",Unknown,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster etcd-metrics-signer,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster etcd-metrics-signer -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,etcd-signer,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",10,Jul 29 14:47:01 2035 GMT,7AC4AA6C5EFAF07E1F96EA1033C52DFED0C9E342D4A2084FCB1BBF6CB9BE8A73,"Platform-Managed (10-Year, Not Auto-Rotated)","Issuer: OU=openshift, CN=etcd-signer; Platform-CA signed",Unknown,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster etcd-signer,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster etcd-signer -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,hcco-client,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:08 2026 GMT,6C480BCF1B1986EB9B82E65AE5BE82E6EA785D3B4F7F7C9294B81FE4B20FEF14,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=hcco-signer; Platform-CA signed",Unknown,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster hcco-client,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster hcco-client -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,hcco-signer,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",10,Jul 29 14:47:07 2035 GMT,93648E4B4B895DCDDC33B01F41E6BFBE9FCCF0D3D094567022106F2FC911BE8E,"Platform-Managed (10-Year, Not Auto-Rotated)","Issuer: OU=openshift, CN=hcco-signer; Platform-CA signed",Unknown,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster hcco-signer,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster hcco-signer -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,ignition-server,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:19 2026 GMT,F435E72F79DBC4E7D180C27FD7571079A6D857D1A9683930876C24F8CE1F3C3A,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster ignition-server,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster ignition-server -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,ignition-server-ca-cert,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key",10,Jul 29 14:48:14 2035 GMT,6B086C4EA40B86D8B27032BD741FD7C2DC9B88982EAA72C407CF801859F487B9,"Platform-Managed (10-Year, Not Auto-Rotated)","Issuer: OU=openshift, CN=ignition-root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster ignition-server-ca-cert,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster ignition-server-ca-cert -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,ignition-server-serving-cert,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key",1,Jul 31 14:48:15 2026 GMT,39F2B35B2956F1A09C8E6FC6FB8344D66AC1C9543547D5DF2CBDE65130751F2E,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=ignition-root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster ignition-server-serving-cert,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster ignition-server-serving-cert -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,ingress-crt,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:15 2026 GMT,24FCC63C15AB9FE5890804A588B1EDB751142CDEA267FCF1008A63E69BB1B42E,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster ingress-crt,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster ingress-crt -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,ingress-operator-kubeconfig,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:48:10 2026 GMT,3DB37C88835EB7432369A18827FB8499D7814DA435CF424FCCE1134409F56B7E,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=kube-csr-signer; Platform-CA signed",Kube-CSR-Signer,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster ingress-operator-kubeconfig,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster ingress-operator-kubeconfig -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,kas-aggregator-client-signer,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",10,Jul 29 14:47:03 2035 GMT,8632F01B18167889E9585A8415B7525B4177AEDA6F69EBC8254B5537976049C3,"Platform-Managed (10-Year, Not Auto-Rotated)","Issuer: OU=openshift, CN=aggregator-signer; Platform-CA signed",Unknown,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster kas-aggregator-client-signer,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster kas-aggregator-client-signer -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,kas-aggregator-crt,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:03 2026 GMT,B6454C1A7E72A903610B0BB391811114581744DE93455C572CF324F6CA26E1AB,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=aggregator-signer; Platform-CA signed",Unknown,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster kas-aggregator-crt,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster kas-aggregator-crt -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,kas-bootstrap-client,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:08 2026 GMT,65CA7531CCB6754BA2E9957BCFCFC73B3A2457A9271D8D6B8343A744D27B1ECC,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=kube-csr-signer; Platform-CA signed",Kube-CSR-Signer,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster kas-bootstrap-client,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster kas-bootstrap-client -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,kas-kubelet-client-crt,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:07 2026 GMT,A8D7069B742A1DADE123D1D744E0A28CA078533F8489481CC7B7BDB3289E9125,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=kube-apiserver-to-kubelet-signer; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster kas-kubelet-client-crt,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster kas-kubelet-client-crt -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
secret,kas-server-crt,bm-hosted-cluster-bm-hosted-cluster,"tls.crt,tls.key,ca.crt",1,Jul 31 14:47:03 2026 GMT,2D194445456F8C7D99CEDADCDA428BF7A2890622BA83B75F4364F977D62E773D,Platform-Managed (Auto-Rotated),"Issuer: OU=openshift, CN=root-ca; Platform-CA signed",Platform-CA,,oc describe secret -n bm-hosted-cluster-bm-hosted-cluster kas-server-crt,"oc get secret -n bm-hosted-cluster-bm-hosted-cluster kas-server-crt -o go-template='{{index .data ""tls.crt""}}' | base64 -d | openssl x509 -noout -text"
